"TICKER","NAME","EXCHANGE","SECTOR","MARKETCAP","GEO","ASSET_CLASS_HASH"
"AVUV","Avantis US Small Cap Value ETF","NYSE","All","Small Cap Value","US","4b6079e19d599e674298b4231a2cd683"
"VTI","Vanguard Total Stock Market Index Fund ETF","NYSE","All","All","US","650bef1c031951a7e3ef3a7d91e5cde1"
"SCHF","Schwab International Equity","NYSE","All","Large Cap","International","1bf82bf6e465ac26197e72bab7a70e09"
"SCHE","Schwab Emerging Markets Equity ETF","NYSE","All","Small Cap","Emerging","df39a13c81bac920c79e16561721c69a"
"IWM","iShares Russell 2000 ETF","NYSE","All","Small Cap","US","f57bf0a8aeea5e4e613f6e42cd219e81"
"BND","Vanguard Total Bond Market Index Fund ETF","NYSE","Bond","All","US","fb80ed442d924a6a5b00b04d1c3bd7b1"
"IBIT","iShares Bitcoin Trust ETF","NYSE","Digital","All","US","898cc1d46f58d1002c262fae02dc146b"
"ESGU","iShares ESG Aware MSCI USA ETF","NYSE","ESG","All","US","4cc2e15608e3e65ea31ef77ed1a9e0fc"
"VNQ","Vanguard Real Estate Index Fund ETF","NYSE","Real Estate","All","US","5e7aece106314db034134e1d3d2c3ef6"
"IAU","Shares Gold Trust","NYSE","Gold","All","US","61bfe3277370dc5aef97cba7803f42e5"
"CASH","CASH","\N","CASH","CASH","CASH","df65714844723b82b86ddd749fc8c2c8"
"AAPL","Apple Inc.","NASDAQ","Technology","Ultra Large Cap","US","2358879c74a56fb2c65196ff2f8516e4"
"ABT","Abbott Laboratories","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"ADBE","Adobe Inc.","NASDAQ","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"ADP","Automatic Data Processing","NASDAQ","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"ADSK","Autodesk","NASDAQ","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"ALGN","Align Technology","NASDAQ","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"AMD","Advanced Micro Devices","NASDAQ","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"AMP","Ameriprise Financial","NYSE","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"AMT","American Tower Corporation","NYSE","Real Estate","Large Cap","US","4e0c6fe664831d4de7654507a2eda955"
"ANET","Arista Networks","NYSE","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"ANSS","ANSYS","NASDAQ","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"AON","Aon plc","NYSE","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"APH","Amphenol Corporation","NYSE","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"ARE","Alexandria Real Estate Equities","NYSE","Real Estate","Large Cap","US","4e0c6fe664831d4de7654507a2eda955"
"AVB","AvalonBay Communities","NYSE","Real Estate","Large Cap","US","4e0c6fe664831d4de7654507a2eda955"
"AVGO","Broadcom Inc.","NASDAQ","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"AXP","American Express Company","NYSE","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"AZN","AstraZeneca PLC","NASDAQ","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"BAC","Bank of America Corporation","NYSE","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"BDX","Becton","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"BIIB","Biogen Inc.","NASDAQ","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"BK","The Bank of New York Mellon Corporation","NYSE","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"BLK","BlackRock","NYSE","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"BMY","Bristol-Myers Squibb Company","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"BSX","Boston Scientific Corporation","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"C","Citigroup Inc.","NYSE","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"CAH","Cardinal Health","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"CB","Chubb Limited","NYSE","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"CCI","Crown Castle Inc.","NYSE","Real Estate","Large Cap","US","4e0c6fe664831d4de7654507a2eda955"
"CDNS","Cadence Design Systems","NASDAQ","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"CFG","Citizens Financial Group","NYSE","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"CI","Cigna Corporation","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"CME","CME Group Inc.","NASDAQ","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"COP","ConocoPhillips","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"CRM","Salesforce","NYSE","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"CSCO","Cisco Systems","NASDAQ","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"CTSH","Cognizant Technology Solutions Corporation","NASDAQ","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"CVS","CVS Health Corporation","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"CVX","Chevron Corporation","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"DGX","Quest Diagnostics Incorporated","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"DHR","Danaher Corporation","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"DXCM","DexCom","NASDAQ","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"EFX","Equifax Inc.","NYSE","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"EOG","EOG Resources","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"EQR","Equity Residential","NYSE","Real Estate","Large Cap","US","4e0c6fe664831d4de7654507a2eda955"
"ESS","Essex Property Trust","NYSE","Real Estate","Large Cap","US","4e0c6fe664831d4de7654507a2eda955"
"EW","Edwards Lifesciences Corporation","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"FIS","Fidelity National Information Services","NYSE","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"FISV","Fiserv","NASDAQ","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"FTNT","Fortinet","NASDAQ","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"GILD","Gilead Sciences","NASDAQ","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"GLW","Corning Incorporated","NYSE","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"GOOG","Alphabet Inc. (Class C)","NASDAQ","Technology","Ultra Large Cap","US","2358879c74a56fb2c65196ff2f8516e4"
"GPN","Global Payments Inc.","NYSE","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"GS","The Goldman Sachs Group","NYSE","Financial","Large Cap","US","e6884c10ab4517585904e5797c727b0f"
"HAL","Halliburton Company","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"HCA","HCA Healthcare","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"IBM","International Business Machines Corporation","NYSE","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"IDXX","IDEXX Laboratories","NASDAQ","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"ILMN","Illumina","NASDAQ","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"INFY","Infosys Limited","NYSE","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"INTC","Intel Corporation","NASDAQ","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"ISRG","Intuitive Surgical","NASDAQ","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"JNJ","Johnson & Johnson","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"LLY","Eli Lilly and Company","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"MA","Mastercard Incorporated","NYSE","Financial","Ultra Large Cap","US","57378350ee979c5e42f415749b3ea26a"
"MRK","Merck & Co.","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"MSFT","Microsoft Corporation","NASDAQ","Technology","Ultra Large Cap","US","2358879c74a56fb2c65196ff2f8516e4"
"MTD","Mettler-Toledo International Inc.","NYSE","Health Care","Large Cap","US","725b651e2a92ba6515da996e4d3125e2"
"NOW","ServiceNow","NYSE","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
"NVDA","NVIDIA Corporation","NASDAQ","Technology","Ultra Large Cap","US","2358879c74a56fb2c65196ff2f8516e4"
"ORCL","Oracle Corporation","NYSE","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
