"CUSTOMER_ID","TRANSACTION_DATE","TICKER","SHARE_AMOUNT","TRADE_PRICE","TOTAL_TRADE_AMOUNT","ACCOUNT_TYPE_NAME","TRANSACTION_CATEGORY"
25444,"2022-02-18 00:00:00.000","SF2040",5.74,167.59,961.54,"401k","401k Contribution"
25445,"2022-02-18 00:00:00.000","SF2055",2.35,187.30,440.95,"401k","401k Contribution"
25447,"2022-02-18 00:00:00.000","SF2045",3.62,177.48,641.92,"401k","401k Contribution"
25448,"2022-02-18 00:00:00.000","SF2040",5.74,167.59,961.54,"401k","401k Contribution"
25449,"2022-02-18 00:00:00.000","SF2045",5.42,177.48,961.54,"401k","401k Contribution"
25451,"2022-02-18 00:00:00.000","SF2030",6.66,144.35,961.54,"401k","401k Contribution"
25452,"2022-02-18 00:00:00.000","SF2045",5.42,177.48,961.54,"401k","401k Contribution"
25453,"2022-02-18 00:00:00.000","SF2045",5.42,177.48,961.54,"401k","401k Contribution"
25455,"2022-02-18 00:00:00.000","SF2055",4.31,187.30,807.69,"401k","401k Contribution"
25457,"2022-02-18 00:00:00.000","SF2040",5.74,167.59,961.54,"401k","401k Contribution"
25460,"2022-02-18 00:00:00.000","SF2060",1.48,191.80,283.57,"401k","401k Contribution"
25461,"2022-02-18 00:00:00.000","SF2035",6.12,157.23,961.54,"401k","401k Contribution"
25464,"2022-02-18 00:00:00.000","SF2050",2.32,182.03,422.01,"401k","401k Contribution"
25465,"2022-02-18 00:00:00.000","SF2050",1.78,182.03,323.72,"401k","401k Contribution"
25468,"2022-02-18 00:00:00.000","SF2040",5.74,167.59,961.54,"401k","401k Contribution"
25469,"2022-02-18 00:00:00.000","SF2030",6.66,144.35,961.54,"401k","401k Contribution"
25470,"2022-02-18 00:00:00.000","SF2050",3.97,182.03,722.28,"401k","401k Contribution"
25471,"2022-02-18 00:00:00.000","SF2055",1.48,187.30,276.57,"401k","401k Contribution"
25474,"2022-02-18 00:00:00.000","SF2045",5.18,177.48,919.10,"401k","401k Contribution"
25475,"2022-02-18 00:00:00.000","SF2055",1.01,187.30,189.98,"401k","401k Contribution"
25476,"2022-02-18 00:00:00.000","SF2030",6.66,144.35,961.54,"401k","401k Contribution"
25477,"2022-02-18 00:00:00.000","SF2050",5.28,182.03,961.54,"401k","401k Contribution"
25478,"2022-02-18 00:00:00.000","SF2045",3.58,177.48,635.99,"401k","401k Contribution"
25479,"2022-02-18 00:00:00.000","SF2035",6.12,157.23,961.54,"401k","401k Contribution"
25481,"2022-02-18 00:00:00.000","SF2045",4.36,177.48,773.57,"401k","401k Contribution"
25482,"2022-02-18 00:00:00.000","SF2045",4.86,177.48,862.29,"401k","401k Contribution"
25484,"2022-02-18 00:00:00.000","SF2045",1.92,177.48,341.61,"401k","401k Contribution"
25487,"2022-02-18 00:00:00.000","SF2040",5.43,167.59,909.27,"401k","401k Contribution"
25488,"2022-02-18 00:00:00.000","SF2030",6.66,144.35,961.54,"401k","401k Contribution"
25491,"2022-02-18 00:00:00.000","SF2040",5.74,167.59,961.54,"401k","401k Contribution"
25493,"2022-02-18 00:00:00.000","SF2050",1.88,182.03,342.46,"401k","401k Contribution"
25494,"2022-02-18 00:00:00.000","SF2060",1.19,191.80,228.37,"401k","401k Contribution"
25495,"2022-02-18 00:00:00.000","SF2055",1.41,187.30,264.92,"401k","401k Contribution"
25496,"2022-02-18 00:00:00.000","SF2030",6.66,144.35,961.54,"401k","401k Contribution"
25497,"2022-02-18 00:00:00.000","SF2055",1.67,187.30,312.61,"401k","401k Contribution"
25498,"2022-02-18 00:00:00.000","SF2045",5.42,177.48,961.54,"401k","401k Contribution"
25499,"2022-02-18 00:00:00.000","SF2045",5.42,177.48,961.54,"401k","401k Contribution"
25502,"2022-02-18 00:00:00.000","SF2040",5.74,167.59,961.54,"401k","401k Contribution"
25503,"2022-02-18 00:00:00.000","SF2045",2.69,177.48,476.80,"401k","401k Contribution"
25504,"2022-02-18 00:00:00.000","SF2045",5.42,177.48,961.54,"401k","401k Contribution"
25506,"2022-02-18 00:00:00.000","SF2045",5.42,177.48,961.54,"401k","401k Contribution"
25507,"2022-02-18 00:00:00.000","SF2030",6.66,144.35,961.54,"401k","401k Contribution"
25508,"2022-02-18 00:00:00.000","SF2045",5.42,177.48,961.54,"401k","401k Contribution"
25510,"2022-02-18 00:00:00.000","SF2045",5.42,177.48,961.54,"401k","401k Contribution"
25511,"2022-02-18 00:00:00.000","SF2035",6.12,157.23,961.54,"401k","401k Contribution"
25514,"2022-02-18 00:00:00.000","SF2045",5.42,177.48,961.54,"401k","401k Contribution"
25516,"2022-02-18 00:00:00.000","SF2060",1.36,191.80,260.38,"401k","401k Contribution"
25517,"2022-02-18 00:00:00.000","SF2050",1.66,182.03,302.76,"401k","401k Contribution"
25521,"2022-02-18 00:00:00.000","SF2035",6.12,157.23,961.54,"401k","401k Contribution"
25522,"2022-02-18 00:00:00.000","SF2050",1.11,182.03,201.75,"401k","401k Contribution"
25523,"2022-02-18 00:00:00.000","SF2055",3.21,187.30,601.13,"401k","401k Contribution"
25525,"2022-02-18 00:00:00.000","SF2040",5.74,167.59,961.54,"401k","401k Contribution"
25526,"2022-02-18 00:00:00.000","SF2060",1.34,191.80,256.17,"401k","401k Contribution"
25527,"2022-02-18 00:00:00.000","SF2050",2.50,182.03,454.52,"401k","401k Contribution"
25529,"2022-02-18 00:00:00.000","SF2045",2.16,177.48,383.46,"401k","401k Contribution"
25530,"2022-02-18 00:00:00.000","SF2055",2.00,187.30,373.90,"401k","401k Contribution"
25532,"2022-02-18 00:00:00.000","SF2045",5.42,177.48,961.54,"401k","401k Contribution"
25533,"2022-02-18 00:00:00.000","SF2055",5.13,187.30,961.54,"401k","401k Contribution"
25537,"2022-02-18 00:00:00.000","SF2050",1.33,182.03,241.71,"401k","401k Contribution"
25538,"2022-02-18 00:00:00.000","SF2035",6.12,157.23,961.54,"401k","401k Contribution"
25540,"2022-02-18 00:00:00.000","SF2030",6.66,144.35,961.54,"401k","401k Contribution"
25542,"2022-02-18 00:00:00.000","SF2055",2.67,187.30,500.29,"401k","401k Contribution"
25543,"2022-02-18 00:00:00.000","SF2050",2.19,182.03,398.36,"401k","401k Contribution"
25545,"2022-02-18 00:00:00.000","SF2035",5.69,157.23,894.65,"401k","401k Contribution"
25547,"2022-02-18 00:00:00.000","SF2040",5.74,167.59,961.54,"401k","401k Contribution"
25548,"2022-02-18 00:00:00.000","SF2055",2.14,187.30,401.75,"401k","401k Contribution"
25550,"2022-02-18 00:00:00.000","SF2050",2.29,182.03,417.20,"401k","401k Contribution"
25551,"2022-02-18 00:00:00.000","SF2050",0.91,182.03,165.96,"401k","401k Contribution"
25552,"2022-02-18 00:00:00.000","SF2060",0.81,191.80,156.05,"401k","401k Contribution"
25556,"2022-02-18 00:00:00.000","SF2030",6.66,144.35,961.54,"401k","401k Contribution"
25558,"2022-02-18 00:00:00.000","SF2045",5.42,177.48,961.54,"401k","401k Contribution"
25560,"2022-02-18 00:00:00.000","SF2035",6.12,157.23,961.54,"401k","401k Contribution"
25561,"2022-02-18 00:00:00.000","SF2060",1.34,191.80,256.85,"401k","401k Contribution"
25564,"2022-02-18 00:00:00.000","SF2045",5.42,177.48,961.54,"401k","401k Contribution"
25565,"2022-02-18 00:00:00.000","SF2030",6.66,144.35,961.54,"401k","401k Contribution"
25566,"2022-02-18 00:00:00.000","SF2035",6.12,157.23,961.54,"401k","401k Contribution"
